Priority,Type,Task,
7,Feature,Headers
5,Feature,Resize Rows
5,Feature,Edit status
1,Bug,Output crlf/lf as input
1,Feature,Handle encodings
5,Feature,Fill Down
5,Feature,Fill Across
1,Feature,HTML Clipboard Format
4,Feature,Insert Paste
4,Optimization,Only redraw in the invalid region
6,Feature,Scrollbars
1,Feature,Warn if closing without saving
3,Bug,Hitting END on a row with 0 columns does not update the window
3,Bug,Columns are limited to 65536 by ColXs
7,Feature,Scroll w/ Mouse Wheel
