Date,Task
2012-01-14,Open Files
2012-01-14,Save Files
2012-01-14,Edit box fit to content
2012-01-14,"^L, Shift+^L    Clear Line & Delete Line
    ^N              New table
    ^O              Open file
    ^S              Save file
    Home,^Home      First Cell of Row, Top Cell of Col
    End,^End        Last Cell of Row, Bottom Cell of Col
    Del, Shift Del  Clear Cell & Delete Cell",
2012-01-14,Cleaned Structure
2012-01-14,"Shift-Tab, Shift-Enter",
2012-01-14,Clicking on Cell
2012-01-14,Time & Date stamp
2012-01-14,Drag & Drop Files
2012-01-14,Leaving a cell that is being edited commits it
2012-01-14 18:47:38,Added library pragmas for all libraries used
2012-01-14 18:51:05,CSVs can be loaded to any row & column
2012-01-14 19:09:48,Pasting from clipboard
2012-01-14 19:34:33,Cut & Copy single cells
2012-01-14 21:02:13,Scrolling in both directions
2012-01-14 21:23:20,Snap to cursor
2012-01-14 21:31:07,Over-draw to show partials at edge of window
